director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre_1,genre_2,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment
James Cameron,723,178,0,855,Joel David Moore,1000,760505847,Action,Fantasy,CCH Pounder,Avatar ,886204,4834,Wes Studi,0,avatar|future|marine|native|paraplegic,3054,USA,PG-13,237000000,2009,936,7.9,33000,523505847,220.8885430379747
Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,Action,Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,USA,PG-13,300000000,2007,5000,7.1,0,9404152,3.134717333333333
Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,Action,Thriller,Christoph Waltz,Spectre ,275868,11700,Stephanie Sigman,1,bomb|espionage|sequel|spy|terrorist,994,Others,PG-13,245000000,2015,393,6.8,85000,-44925825,-18.337071428571427
Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,Action,NA,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,USA,PG-13,250000000,2012,23000,8.5,164000,198130642,79.2522568
Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,Action,Sci-Fi,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,738,USA,PG-13,263700000,2012,632,6.6,24000,-190641321,-72.29477474402731
Sam Raimi,392,156,0,4000,James Franco,24000,336530303,Action,Romance,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,1902,USA,PG-13,258000000,2007,11000,6.2,0,78530303,30.438101937984495
Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,Adventure,Comedy,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,387,USA,PG,260000000,2010,553,7.8,29000,-59192738,-22.766437692307694
Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,Action,Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,USA,PG-13,250000000,2015,21000,7.5,118000,208991599,83.5966396
David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Adventure,Fantasy,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,58753,Rupert Grint,3,blood|book|love|potion|professor,973,Others,PG,250000000,2009,11000,7.5,10000,51956980,20.782792
Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,Action,Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,3018,USA,PG-13,250000000,2016,4000,6.9,197000,80249062,32.0996248
Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,Action,Sci-Fi,Kevin Spacey,Superman Returns ,240396,29991,Frank Langella,0,crystal|epic|lex luthor|lois lane|return to earth,2367,USA,PG-13,209000000,2006,10000,6.1,0,-8930592,-4.273010526315789
Marc Forster,403,106,395,393,Mathieu Amalric,451,168368427,Action,NA,Giancarlo Giannini,Quantum of Solace ,330784,2023,Rory Kinnear,1,action hero|attempted rape|bond girl|official james bond series|revenge,1243,Others,PG-13,200000000,2008,412,6.7,0,-31631573,-15.815786500000002
Gore Verbinski,313,151,563,1000,Orlando Bloom,40000,423032628,Action,Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2,box office hit|giant squid|heart|liar's dice|monster,1832,USA,PG-13,225000000,2006,5000,7.3,5000,198032628,88.01450133333333
Gore Verbinski,450,150,563,1000,Ruth Wilson,40000,89289910,Action,Western,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1,horse|outlaw|texas|texas ranger|train,711,USA,PG-13,215000000,2013,2000,6.5,48000,-125710090,-58.46980930232558
Zack Snyder,733,143,0,748,Christopher Meloni,15000,291021565,Action,Fantasy,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,USA,PG-13,225000000,2013,3000,7.2,118000,66021565,29.342917777777778
Andrew Adamson,258,150,80,201,Pierfrancesco Favino,22000,141614023,Action,Family,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,USA,PG,225000000,2008,216,6.6,0,-83385977,-37.06043422222222
Joss Whedon,703,173,0,19000,Robert Downey Jr.,26000,623279547,Action,Sci-Fi,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3,alien invasion|assassin|battle|iron man|soldier,1722,USA,PG-13,220000000,2012,21000,8.1,123000,403279547,183.308885
Rob Marshall,448,136,252,1000,Sam Claflin,40000,241063875,Action,Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4,blackbeard|captain|pirate|revenge|soldier,484,USA,PG-13,250000000,2011,11000,6.7,58000,-8936125,-3.5744499999999997
