director_name,num_critic_for_reviews,duration,director_facebook_likes,gross,genre_1,movie_title,num_voted_users,cast_total_facebook_likes,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,profit,return_on_investment,Action,Adventure,Biography,Comedy,Drama,Horror,Documentary,other_actors_facebook_likes,critic_review_ratio,ln_profit,ln_gross,ln_num_voted_users,ln_num_critic_for_reviews
David Yates,375,1,282,301956980,Adventure,Harry Potter and the Half-Blood Prince ,321795,58753,Others,PG,250000000,1,7.5,10000,51956980,20.782792,0,1,0,0,0,0,0,21000,0.3854059609455293,17.76592662644552,19.525795114861005,12.681669975818716,5.926926025970411
Peter Jackson,446,1,0,218051260,Action,King Kong ,316018,7123,Others,PG-13,207000000,1,7.2,0,11051260,5.338772946859904,1,0,0,0,0,0,0,1003,0.1703590527119939,16.218055006576755,19.200240730727526,12.663554452972091,6.100318952020064
Brett Ratner,334,0,420,234360014,Action,X-Men: The Last Stand ,383427,21714,Others,PG-13,210000000,1,6.8,0,24360014,11.600006666666667,1,0,0,0,0,0,0,1368,0.17468619246861924,17.00845357551845,19.272369012378018,12.856904529649341,5.811140992976701
David Yates,329,1,282,292000866,Adventure,Harry Potter and the Order of the Phoenix ,355137,33433,Others,PG-13,150000000,1,7.5,0,142000866,94.667244,0,1,0,0,0,0,0,11687,0.29693140794223827,18.77134371413849,19.492267325981583,12.78025890950428,5.796057750765372
Mike Newell,295,1,179,289994397,Adventure,Harry Potter and the Goblet of Fire ,385670,53413,Others,PG-13,150000000,1,7.6,0,139994397,93.329598,0,1,0,0,0,0,0,21000,0.15559071729957805,18.757112958344127,19.485372160068493,12.862737360512703,5.68697535633982
Lee Tamahori,264,1,93,160201106,Action,Die Another Day ,169914,2538,Others,PG-13,142000000,1,6.1,0,18201106,12.81768028169014,1,0,0,0,0,0,0,1512,0.22278481012658227,16.71699291943142,18.891940496444864,12.04304770567781,5.575949103146316
Alfonso Cuarón,274,1,0,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,382255,33284,Others,PG,130000000,1,7.8,11000,119358727,91.81440538461538,0,1,0,0,0,0,0,20000,0.18218085106382978,18.597644029148373,19.334403088341347,12.853843204150495,5.6131281063880705
Chris Columbus,258,1,0,317557891,Adventure,Harry Potter and the Sorcerer's Stone ,444683,13191,Others,PG,125000000,1,7.5,16000,192557891,154.0463128,0,1,0,0,0,0,0,1332,0.16422660725652452,19.0759073989487,19.57617069353449,13.005116947749189,5.552959584921617
Bryan Singer,289,1,0,214948780,Action,X-Men 2 ,405973,20952,Others,PG-13,110000000,1,7.5,0,104948780,95.40798181818182,1,0,0,0,0,0,0,851,0.2739336492890995,18.468982979580215,19.185910325151912,12.914041933909429,5.666426688112432
Roger Spottiswoode,160,0,55,125332007,Action,Tomorrow Never Dies ,149680,2958,Others,PG-13,110000000,0,6.5,0,15332007,13.938188181818182,1,0,0,0,0,0,0,1153,0.4878048780487805,16.54545316204392,18.646476830183257,11.91625496094797,5.075173815233827
Peter Jackson,297,1,0,313837577,Action,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,Others,PG-13,93000000,1,8.8,21000,220837577,237.45976021505376,1,0,0,0,0,0,0,5857,0.058695652173913045,19.21293804357568,19.56438613934125,14.029610135559567,5.6937321388027
Rob Minkoff,101,0,50,140015224,Adventure,Stuart Little ,94172,3382,Others,PG,133000000,0,5.9,0,7015224,5.274604511278196,0,1,0,0,0,0,0,1578,0.5642458100558659,15.763593202584092,18.757261717518645,11.452878176464841,4.61512051684126
Chris Columbus,232,1,0,261970615,Adventure,Harry Potter and the Chamber of Secrets ,387616,35672,Others,PG,100000000,1,7.4,0,161970615,161.970615,0,1,0,0,0,0,0,19000,0.2703962703962704,18.902925487854816,19.383742898946814,12.867770437816528,5.44673737166631
Martin Campbell,400,1,258,167007184,Action,Casino Royale ,470483,9125,Others,PG-13,150000000,1,8,0,17007184,11.338122666666667,1,0,0,0,0,0,0,1834,0.1738374619730552,16.649146400990524,18.933547387419853,13.061515105580096,5.991464547107982
Seth Gordon,141,0,91,120136047,Comedy,Four Christmases ,48500,9913,Others,PG-13,80000000,1,5.6,0,40136047,50.17005875,0,0,0,1,0,0,0,3982,1.1370967741935485,17.507785416164076,18.604135383565456,10.789319076925574,4.948759890378168
Brett Ratner,210,1,420,92930005,Crime,Red Dragon ,204063,35867,Others,R,78000000,1,7.2,0,14930005,19.14103205128205,0,0,0,0,0,0,0,12876,0.27486910994764396,16.518883504411498,18.34735713333746,12.226184048679594,5.3471075307174685
Jonathan Mostow,178,0,84,77086030,Action,U-571 ,65297,14931,Others,PG-13,62000000,0,6.6,0,15086030,24.332306451612904,1,0,0,0,0,0,0,1482,0.2956810631229236,16.529279707992437,18.160432628860566,11.086701372402121,5.181783550292085
